,CR,EV,PE,R^2
338,0.12,-0.154,0.0,0.5288307395375444
339,-0.07300000000000001,-0.091,0.128,0.38089917781139704
340,-0.45899999999999996,0.12200000000000001,0.07999999999999999,0.37760653638669484
341,-0.019000000000000003,0.041,0.075,0.5896187923395935
342,0.07699999999999999,0.003,0.0020000000000000018,0.4944300143893072
343,0.308,0.07,0.14500000000000002,0.6805610147132024
344,0.27499999999999997,0.616,0.117,0.4049232936386268
345,0.126,0.054,0.03799999999999999,0.6122158234902513
346,0.219,-0.047,0.062,0.7497795225303578
347,0.0,-0.0030000000000000027,0.118,0.4632895421804195
348,0.0,-0.076,0.037000000000000005,0.49090486644621245
349,0.027,-0.06,0.046,0.40041029098557823
350,-0.135,0.166,0.091,0.7988341526986811
351,0.123,0.079,0.19599999999999998,0.41108240066645707
352,0.049,0.075,0.017000000000000015,0.4989618724435606
353,0.13,0.095,0.0,0.4199930241712543
354,0.246,0.038,0.039,0.5775006228445914
355,-0.0030000000000000027,-0.027,0.041999999999999996,0.31656750327485816
356,0.415,0.23900000000000002,0.438,0.45504863108120264
357,-0.04,0.038,0.066,0.31930579185528396
358,0.016999999999999987,0.161,0.158,0.6507805399586017
359,-0.019,-0.111,-0.184,0.8353085042261579
360,0.129,0.09,0.096,0.40684535005306044
361,-0.023,-0.071,0.019,0.5510735836853065
362,0.0,0.112,0.023999999999999994,0.1462373200702305
363,0.073,0.0,0.135,0.15434951204088454
364,-0.5170000000000001,-0.136,0.383,0.48558499217512596
365,-0.066,0.007999999999999993,-0.014,0.2056309156067836
366,0.036,0.122,0.026000000000000002,0.6342187700509998
367,-0.018000000000000002,-0.009,0.0,0.06126907610307286
368,0.043,-0.089,-0.025,0.056278764981743
369,-0.068,0.082,0.037000000000000005,0.6898746822980841
370,0.36,0.062000000000000006,0.078,0.5443957689829929
371,0.08499999999999999,-0.006999999999999999,0.10099999999999999,0.6470014099023035
372,0.243,-0.181,0.103,0.5856768516501505
373,0.124,0.09100000000000001,0.276,0.41612162194370517
374,0.086,0.694,-0.226,0.4329008725886557
375,0.012999999999999998,0.0,0.16199999999999998,0.42007516608701867
376,0.068,0.0,0.043,0.33903014980196067
377,0.064,0.010999999999999982,0.0050000000000000044,0.25020171975220296
378,-0.014999999999999996,-0.048,0.0,0.14670700325854125
379,0.457,-0.04899999999999996,-0.038,0.5141162804628944
380,0.242,-0.07999999999999999,-0.016000000000000014,0.5580802726467212
381,0.023000000000000003,0.013000000000000005,0.029,0.2979965845237418
382,0.119,0.025999999999999995,0.363,0.5107950156838629
383,0.079,-0.07,0.013999999999999999,0.24548450089078933
384,0.229,0.026,0.11600000000000002,0.5323739416493405
385,0.037,0.005000000000000001,0.067,0.8471876545520786
386,0.111,-0.462,0.077,0.678698907476228
387,-0.064,-0.032,0.25799999999999995,0.5393815737304404
388,0.020000000000000004,-0.01999999999999999,0.06400000000000002,0.22029540653480217
389,0.05600000000000001,-0.184,0.183,0.40366063562243426
390,-0.49800000000000005,-0.425,0.445,0.44825020438057717
391,0.027000000000000003,0.03899999999999999,0.017,0.21161129060211437
392,0.04799999999999999,0.154,0.086,0.5335767413810246
393,0.025,-0.014,-0.007,0.3017311368390182
394,0.0,-0.041,0.041,0.2864762960208236
395,0.11299999999999999,0.015000000000000003,0.087,0.4312409085126052
396,0.0,0.133,0.104,0.35485679678289106
397,0.23099999999999998,-0.203,-0.22899999999999998,0.3413175098166398
398,0.16699999999999998,-0.041999999999999996,0.07100000000000001,0.5522692243628939
399,0.21,0.41400000000000003,0.379,0.6971536458225431
400,0.411,0.117,0.111,0.802101081208211
401,-0.203,0.0,0.215,0.3815233531152429
402,-0.093,-0.152,0.217,0.7457749765949866
403,0.105,0.0049999999999999906,0.267,0.7637433572091613
404,-0.08399999999999999,0.045,0.059,0.5737505928436079
405,0.077,-0.004999999999999999,0.011,0.19523605002946776
406,0.07100000000000001,-0.21,0.0049999999999999975,0.7108919580697024
407,0.045,0.049999999999999996,0.035,0.3838321736748904
408,0.20500000000000002,0.15299999999999997,0.191,0.4832926725243657
409,0.0,0.172,0.405,0.4853022765250664
410,0.112,-0.003,0.01,0.5230884213611542
411,0.004999999999999977,-0.0030000000000000027,0.155,0.5430600043805371
412,0.02,0.055,-0.02,0.4733279804322308
413,0.0,0.008,0.015,0.060244289686604335
414,-0.016999999999999998,0.063,-0.02,0.5633521681191543
415,0.025,-0.14500000000000002,0.126,0.7609314275227335
416,-0.013999999999999999,0.11699999999999999,0.045,0.41952288357259915
417,0.069,0.039999999999999994,0.03,0.09608552583489993
418,-0.033,-0.027,0.149,0.5413173396850077
419,0.068,-0.026,0.009,0.2824611732352733
420,0.69,-0.061,0.458,0.4751735737779974
421,-0.243,0.102,0.0,0.2716758461953067
422,0.073,0.176,0.11599999999999999,0.38741864579225727
423,0.20600000000000002,-0.073,0.033,0.21838756705119244
424,0.173,0.21100000000000002,0.131,0.5258548445909355
425,-0.012,0.015,0.038,0.46310105183635397
426,0.086,0.093,0.215,0.6873135580142803
427,-0.11,0.155,0.181,0.2617546347474796
428,0.036,-0.019,0.028,0.08912669069539181
429,0.0,-0.01,-0.018000000000000002,0.10232965107584224
430,0.111,-0.076,0.025,0.4250267919223275
431,-0.017,0.051,-0.023999999999999997,0.6407337744092527
432,0.126,0.1,0.163,0.5347641114858565
433,0.03899999999999998,0.587,0.433,0.5694856532368493
434,0.093,0.235,-0.009999999999999995,0.21165836458047715
435,0.0,0.045,0.047,0.1829284641656661
436,-0.049,0.025,0.032,0.06948773604481251
437,0.322,0.053,0.394,0.606990677345053
438,0.023,0.023999999999999966,0.095,0.37343987062842554
439,0.086,0.05,0.028999999999999998,0.5161157009970634
440,-0.03,0.18199999999999997,-0.095,0.270117173424411
441,-0.059,0.062,0.039,0.2651562177429574
442,0.048,0.022,-0.045,0.1832899327876667
443,0.046,0.258,0.047,0.9040365660088284
444,-0.032,0.076,0.028999999999999998,0.3266753333778699
445,0.003,-0.075,-0.009000000000000001,0.7927161767053663
446,-0.06,0.222,0.144,0.3954318682470631
447,-0.052,0.007000000000000006,-0.009,0.30275770114183564
448,0.08,0.122,-0.002999999999999999,0.7669135529185822
449,0.05499999999999999,0.024,0.124,0.2171628839475115
450,-0.18300000000000002,0.122,0.33799999999999997,0.5854622510708615
451,0.194,-0.074,-0.051,0.7445441006075537
452,0.028999999999999998,0.016,-0.004,0.24470861094719798
453,-0.16699999999999998,-0.101,-0.02899999999999999,0.10578615753853304
454,-0.127,0.157,0.237,0.7078541635819382
455,-0.027000000000000003,-0.046,0.092,0.37630774944274525
456,0.265,0.061,0.11,0.46096216262240686
457,0.245,-0.03400000000000003,-0.03600000000000003,0.3878220492710218
458,0.0,0.064,0.118,0.3906939948612982
459,1.641,-0.338,0.242,0.6546760749660241
460,0.019000000000000003,0.013,0.034,-0.025196299705690484
461,0.155,0.408,0.263,0.6573567040894657
462,0.015000000000000003,0.009999999999999998,0.024,0.5628813063401299
463,0.076,-0.029,0.065,0.22162251683765632
464,0.043,0.058,0.057,0.5257896686737409
465,0.044,0.248,0.139,0.4692165378433041
466,0.213,0.164,0.154,0.4490465252224012
467,0.47300000000000003,0.0,0.332,0.6722921508830115
468,-0.153,-0.059,0.015,0.7148625268677875
469,-0.03,0.015,-0.028999999999999998,0.357623295891907
470,0.0020000000000000018,0.031,0.123,0.4795090945088841
471,0.017,0.0040000000000000036,0.012,0.20438043089912106
472,0.631,0.022,0.039999999999999994,0.4686165249721217
473,0.21699999999999997,0.298,0.12600000000000003,0.5154168143672995
474,0.0,0.025,0.10400000000000001,0.31219821835246253
475,-0.332,-0.159,0.217,0.33462962476077884
476,0.196,0.0,0.297,0.33107463658060265
477,0.5880000000000001,0.265,0.13999999999999999,0.6439995162272125
478,0.0,0.053,0.039999999999999994,0.46954172610293277
479,0.045,-0.062,0.186,0.18461392978249314
480,-0.003999999999999997,-0.030000000000000006,0.045,0.424499673817765
481,-0.067,-0.043,0.0010000000000000009,0.2645895341651382
482,-0.049,0.035,0.037,0.6489622837103991
483,-0.032,0.082,0.019000000000000003,0.4301826118149723
484,-0.52,0.074,0.061,0.3732906535142786
485,0.242,-0.139,0.10399999999999998,0.20695676391889684
486,1.129,-1.011,0.0,0.6219901537907825
487,0.119,0.10200000000000004,0.202,0.585131213501764
488,-0.069,0.11,-0.025,0.6580341071775911
489,0.066,-0.07,0.22499999999999998,0.4680736031081735
490,-0.008,0.142,-0.05599999999999998,0.38832522392705193
491,-0.221,0.04600000000000001,0.312,0.5789993867099861
492,0.272,0.129,0.35,0.5741339138009712
493,0.14,0.155,0.101,0.4431263045389895
494,0.274,-0.029999999999999985,0.064,0.44471413885810085
495,0.0,0.007000000000000006,0.044,0.258045183459646
496,0.0,0.051000000000000004,0.044,0.37866341277033
497,0.6719999999999999,0.026000000000000002,0.069,0.285951960293929
498,0.0,-0.088,0.065,0.10034783906160472
499,-0.016,0.011,0.02,0.21368873053495152
500,0.20800000000000002,0.0,0.0,0.539652751118685
501,0.026999999999999996,0.31699999999999995,0.09400000000000003,0.43861965784430823
